id,original,surface,pronunciation,status,image,image_page,wikidata,capital,continent,population,area_km2,established_year,description
0,アフガニスタン,アフガニスタン,,current,http://commons.wikimedia.org/wiki/Special:FilePath/Flag_of_the_Taliban.svg,https://commons.wikimedia.org/wiki/File:Flag_of_the_Taliban.svg,Q889,カーブル,アジア,41454761,652230,1709,アフガニスタン・イスラム首長国は、中央アジア・西アジアと南アジアの交差点に位置する山岳地帯の内陸国である。
0,アフガニスタン・イスラム首長国,アフガニスタン・イスラム首長国,アフガニスタンイスラムシュチョウコク,current,http://commons.wikimedia.org/wiki/Special:FilePath/Flag_of_the_Taliban.svg,https://commons.wikimedia.org/wiki/File:Flag_of_the_Taliban.svg,Q889,カーブル,アジア,41454761,652230,1709,アフガニスタン・イスラム首長国は、中央アジア・西アジアと南アジアの交差点に位置する山岳地帯の内陸国である。
1,アルバニア,アルバニア,,current,http://commons.wikimedia.org/wiki/Special:FilePath/Flag_of_Albania.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Albania.svg,Q222,ティラナ,ヨーロッパ,2811655,28748,1912,アルバニア共和国、通称アルバニアは、東南ヨーロッパのバルカン半島南西部に位置する共和制国家。首都はティラナ。西はアドリア海に面し、対岸はイタリアである。
1,アルバニア共和国,アルバニア共和国,アルバニアキョウワコク,current,http://commons.wikimedia.org/wiki/Special:FilePath/Flag_of_Albania.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Albania.svg,Q222,ティラナ,ヨーロッパ,2811655,28748,1912,アルバニア共和国、通称アルバニアは、東南ヨーロッパのバルカン半島南西部に位置する共和制国家。首都はティラナ。西はアドリア海に面し、対岸はイタリアである。
2,アルジェリア,アルジェリア,,current,http://commons.wikimedia.org/wiki/Special:FilePath/Flag_of_Algeria.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Algeria.svg,Q262,アルジェ,アフリカ,46164219,2381741,1962,アルジェリア民主人民共和国、通称アルジェリアは、北アフリカのマグリブに位置する共和制国家。
2,アルジェリア民主人民共和国,アルジェリア民主人民共和国,アルジェリアミンシュジンミンキョウワコク,current,http://commons.wikimedia.org/wiki/Special:FilePath/Flag_of_Algeria.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Algeria.svg,Q262,アルジェ,アフリカ,46164219,2381741,1962,アルジェリア民主人民共和国、通称アルジェリアは、北アフリカのマグリブに位置する共和制国家。
3,アンドラ,アンドラ,,current,http://commons.wikimedia.org/wiki/Special:FilePath/Flag_of_Andorra.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Andorra.svg,Q228,アンドラ・ラ・ベリャ,ヨーロッパ,89752,468,1278,アンドラ公国、通称アンドラは、ヨーロッパ西部のピレネー山脈中に位置する立憲君主制国家。首都はアンドラ・ラ・ベリャ。
3,アンドラ公国,アンドラ公国,アンドラコウコク,current,http://commons.wikimedia.org/wiki/Special:FilePath/Flag_of_Andorra.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Andorra.svg,Q228,アンドラ・ラ・ベリャ,ヨーロッパ,89752,468,1278,アンドラ公国、通称アンドラは、ヨーロッパ西部のピレネー山脈中に位置する立憲君主制国家。首都はアンドラ・ラ・ベリャ。
4,アンゴラ,アンゴラ,,current,http://commons.wikimedia.org/wiki/Special:FilePath/Flag_of_Angola.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Angola.svg,Q916,ルアンダ,アフリカ,36749906,1246700,1975,アンゴラ共和国、通称アンゴラは、アフリカ南西部にある共和制国家。東はザンビア、南はナミビア、北はコンゴ民主共和国と国境を接し、西は大西洋に面する。
4,アンゴラ共和国,アンゴラ共和国,アンゴラキョウワコク,current,http://commons.wikimedia.org/wiki/Special:FilePath/Flag_of_Angola.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Angola.svg,Q916,ルアンダ,アフリカ,36749906,1246700,1975,アンゴラ共和国、通称アンゴラは、アフリカ南西部にある共和制国家。東はザンビア、南はナミビア、北はコンゴ民主共和国と国境を接し、西は大西洋に面する。
5,アルゼンチン,アルゼンチン,,current,http://commons.wikimedia.org/wiki/Special:FilePath/Flag_of_Argentina.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Argentina.svg,Q414,ブエノスアイレス,南アメリカ,47327407,2780400,1816,アルゼンチン共和国、通称アルゼンチンは、南アメリカ南部に位置する連邦共和制国家。首都はブエノスアイレス。
5,アルゼンチン共和国,アルゼンチン共和国,アルゼンチンキョウワコク,current,http://commons.wikimedia.org/wiki/Special:FilePath/Flag_of_Argentina.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Argentina.svg,Q414,ブエノスアイレス,南アメリカ,47327407,2780400,1816,アルゼンチン共和国、通称アルゼンチンは、南アメリカ南部に位置する連邦共和制国家。首都はブエノスアイレス。
6,アルメニア,アルメニア,,current,http://commons.wikimedia.org/wiki/Special:FilePath/Flag_of_Armenia.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Armenia.svg,Q399,イェレヴァン,アジア,2930450,29743.423459,1991,ユーラシア大陸の南コーカサスの内陸国である。首都はエレバン。
6,アルメニア共和国,アルメニア共和国,アルメニアキョウワコク,current,http://commons.wikimedia.org/wiki/Special:FilePath/Flag_of_Armenia.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Armenia.svg,Q399,イェレヴァン,アジア,2930450,29743.423459,1991,ユーラシア大陸の南コーカサスの内陸国である。首都はエレバン。
7,オーストラリア,オーストラリア,,current,http://commons.wikimedia.org/wiki/Special:FilePath/Flag_of_Australia_%28converted%29.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Australia_%28converted%29.svg,Q408,キャンベラ,オセアニア,27614411,7692024,1901,オセアニアに位置し、オーストラリア大陸本土、タスマニア島および多数の小島から成る連邦立憲君主制国家。首都はキャンベラ。
7,オーストラリア連邦,オーストラリア連邦,オーストラリアレンポウ,current,http://commons.wikimedia.org/wiki/Special:FilePath/Flag_of_Australia_%28converted%29.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Australia_%28converted%29.svg,Q408,キャンベラ,オセアニア,27614411,7692024,1901,オセアニアに位置し、オーストラリア大陸本土、タスマニア島および多数の小島から成る連邦立憲君主制国家。首都はキャンベラ。
7,豪州,豪州,ゴウシュウ,current,http://commons.wikimedia.org/wiki/Special:FilePath/Flag_of_Australia_%28converted%29.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Australia_%28converted%29.svg,Q408,キャンベラ,オセアニア,27614411,7692024,1901,オセアニアに位置し、オーストラリア大陸本土、タスマニア島および多数の小島から成る連邦立憲君主制国家。首都はキャンベラ。
8,オーストリア,オーストリア,,current,http://commons.wikimedia.org/wiki/Special:FilePath/Flag_of_Austria.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Austria.svg,Q40,ウィーン,ヨーロッパ,8979894,83878.99,996,中央ヨーロッパに位置する連邦共和制国家。文脈によっては西ヨーロッパに分類される。首都および最大都市はウィーン。通称はオーストリア。
8,オーストリア共和国,オーストリア共和国,オーストリアキョウワコク,current,http://commons.wikimedia.org/wiki/Special:FilePath/Flag_of_Austria.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Austria.svg,Q40,ウィーン,ヨーロッパ,8979894,83878.99,996,中央ヨーロッパに位置する連邦共和制国家。文脈によっては西ヨーロッパに分類される。首都および最大都市はウィーン。通称はオーストリア。
9,アゼルバイジャン,アゼルバイジャン,,current,http://commons.wikimedia.org/wiki/Special:FilePath/Flag_of_Azerbaijan.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Azerbaijan.svg,Q227,バクー,アジア,10180770,86600,1991,アゼルバイジャン共和国、通称アゼルバイジャンは、ユーラシア大陸のコーカサス地方、カスピ海西岸にある国家である。首都であり最大の都市はバクー。
9,アゼルバイジャン共和国,アゼルバイジャン共和国,アゼルバイジャンキョウワコク,current,http://commons.wikimedia.org/wiki/Special:FilePath/Flag_of_Azerbaijan.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Azerbaijan.svg,Q227,バクー,アジア,10180770,86600,1991,アゼルバイジャン共和国、通称アゼルバイジャンは、ユーラシア大陸のコーカサス地方、カスピ海西岸にある国家である。首都であり最大の都市はバクー。
